"","Variables","Estimate","Std..Error","t.value","Pr...t..","Estimate.2011","Std..Error.2011","t.value.2011","Pr...t...2011","Estimate.2013","Std..Error.2013","t.value.2013","Pr...t...2013","Estimate.2015","Std..Error.2015","t.value.2015","Pr...t...2015","Estimate.2017","Std..Error.2017","t.value.2017","Pr...t...2017","Estimate.hypertention_aware","Std..Error.hypertention_aware","t.value.hypertention_aware","Pr...t...hypertention_aware"
"49","demo_age_cat65 to 74",-0.0431462638330552,0.191496197352856,-0.22531133479143,0.821744223797002,0.698956025029102,0.475931498662081,1.46860635825529,0.142137891271156,-0.331248002318861,0.322841770030257,-1.02603824247344,0.305022328481507,-0.245872620270837,0.410805450493072,-0.598513529885562,0.549598335841659,0.431429190302147,0.326772031213773,1.32027575524023,0.186850497027895,1.34874064618035,0.145044271183755,9.2988205268145,1.94737151890984e-20
"50","demo_age_cat75+",-0.391653392210515,0.207095137829565,-1.89117618267232,0.0586456185984383,-0.0698918431122219,0.456159572204496,-0.153217968822738,0.878245878797159,-0.726061175080088,0.331754720656351,-2.18854813472927,0.0287679555989047,-0.260040685536162,0.447730646944776,-0.580797154071601,0.561474691578743,-0.0252789168338957,0.349264760959502,-0.0723775188898226,0.942306626168819,1.21911428808675,0.162651675557134,7.49524580002569,7.57640401151487e-14
"51","ALQ130",-0.0190973920399931,0.0298225566704103,-0.640367365248112,0.521956552340789,NA,NA,NA,NA,0.0544151835901613,0.0486066765757493,1.11950018852574,0.263087989311224,-0.134886368597093,0.0687553608357686,-1.96183056793618,0.0499886539665167,-0.0338984062832106,0.0495611300804932,-0.683971617034471,0.494049487490201,-0.00649601164914501,0.0232404796997507,-0.279512804084449,0.779860949239275
"52","demo_raceNon-Hispanic Black",-0.30418490831719,0.123552017116636,-2.46199872261117,0.0138424952708426,-0.435612908228309,0.24794488611706,-1.75689410275898,0.0791288079766887,-0.634463370028973,0.204649574302423,-3.10024280378609,0.00196596140068284,-0.00272471999343956,0.268096005936294,-0.0101632248638833,0.991892569960911,-0.220337696447472,0.182817599849787,-1.20523240994584,0.228215079067595,0.160849417912683,0.0986936416748467,1.6297850113041,0.103199443691218
"53","demo_raceNon-Hispanic Asian",-0.252571455433232,0.185228659737028,-1.36356574512719,0.172751889351645,-0.00922737250441447,0.394792752881732,-0.0233726998205023,0.981355921596766,-0.602372610494638,0.338274701394487,-1.78072024899127,0.0751401195660638,-0.527193716120441,0.410192345790381,-1.2852353817198,0.198931801404468,-0.0387713597167092,0.277126305355346,-0.139905014311054,0.888745066055366,0.0691210750684777,0.134635816080617,0.513392922334199,0.60769540174859
"54","demo_raceHispanic",0.050895003685839,0.147210659488475,0.345729065155255,0.729557619398427,0.169701100759455,0.344346729506729,0.492820422608772,0.622207699000989,-0.161718232606516,0.271373602513225,-0.59592469978223,0.551306384819546,0.461674847146859,0.318258926270609,1.4506265466198,0.14711756394143,0.00923502298382886,0.233722931360137,0.0395126953529385,0.968484438910636,-0.296669093587384,0.115285729362862,-2.57333752604902,0.0100960947523915
"55","demo_raceOther",0.0695388586488869,0.299043694935302,0.232537451304337,0.816127983702556,0.944686160148093,0.529022392293983,1.78572055532788,0.0743355273805656,-1.22616242989295,0.553632644367305,-2.21475818373069,0.0269113740445472,0.892546491157944,0.478106952363548,1.86683436989484,0.0621426394908648,0.364065575802244,0.397612968196015,0.915628022531618,0.359940595417133,-0.197153833658843,0.218212973516914,-0.903492723101366,0.366300726276695
"56","demo_genderWomen",0.132523248384039,0.115231922753238,1.15005673096187,0.250163163886126,-0.237806858911943,0.227905181157916,-1.04344647938111,0.2969005734868,0.595326631433699,0.200620211158953,2.96743098810725,0.00304575604635435,0.21953895389842,0.249633504514381,0.879445066180097,0.379317450951529,-0.196847702012738,0.174922884772269,-1.12533990203176,0.260541134847703,0.0933420011763181,0.0967985984320008,0.96429083363112,0.334939003973763
"57","cc_diabetesYes",-0.0280495976705937,0.114877047279431,-0.244170600958822,0.807106464912511,0.0552935272934353,0.231305580992057,0.239049689403448,0.811097938390074,-0.108028395664898,0.204855787214893,-0.527338754416425,0.598028496840613,0.027506930973278,0.2540060610001,0.10829241973587,0.91377992374696,-0.168059696569529,0.170370829444323,-0.986434691417933,0.324004775651634,0.769178648149024,0.129993665261855,5.91704716225683,3.45876548769781e-09
"58","cc_bmi25 to <30",0.297541140069113,0.158053733307254,1.8825315533085,0.0598088741887939,-0.180327837212003,0.317037668831779,-0.568789941827656,0.569579232231788,0.303312075787987,0.262562992963464,1.15519735803055,0.248175072166306,0.58449660947528,0.347293088332253,1.68300674304263,0.092606384392553,0.210881583074934,0.2470848202408,0.853478505354627,0.393466748235555,0.591876429196557,0.120830405533825,4.89840637860697,9.91515031333281e-07
